Path,Filename,StartSecond,EndSecond,MainClassification,ConfidenceScore,ConfidenceVector
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,33,36,Whistle,0.60626155,"[0.3937384784221649, 0.6062615513801575]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,36,39,Whistle,0.9905652,"[0.009434868581593037, 0.9905651807785034]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,39,42,Whistle,0.6384482,"[0.36155179142951965, 0.638448178768158]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,57,60,Whistle,0.99839455,"[0.001605440629646182, 0.9983945488929749]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,60,63,Whistle,0.9999989,"[1.0876301530515775e-06, 0.999998927116394]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,63,66,Whistle,0.9994105,"[0.0005895273061469197, 0.9994105100631714]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,66,69,Whistle,0.97168463,"[0.028315352275967598, 0.9716846346855164]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,72,75,Whistle,0.9670116,"[0.03298845514655113, 0.967011570930481]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,75,78,Whistle,0.85844046,"[0.14155951142311096, 0.8584404587745667]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,18,21,Whistle,0.6047298,"[0.39527028799057007, 0.6047297716140747]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,21,24,Whistle,0.9999999,"[6.61285071146267e-08, 0.9999998807907104]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,24,27,Whistle,1.0,"[2.462276960102372e-08, 1.0]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,27,30,Whistle,1.0,"[1.5598049074583287e-08, 1.0]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,30,33,Whistle,0.9999976,"[2.3951865841809195e-06, 0.999997615814209]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,36,39,Whistle,0.9999999,"[1.219909222527349e-07, 0.9999998807907104]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_08-43-47_48kHz.wav,channelA_2024-05-28_08-43-47_48kHz.wav,282,285,Whistle,0.5510314,"[0.4489686191082001, 0.5510314106941223]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_09-56-11_48kHz.wav,channelA_2024-05-28_09-56-11_48kHz.wav,75,78,Whistle,0.7075414,"[0.29245859384536743, 0.7075414061546326]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_15-23-56_48kHz.wav,channelA_2024-05-28_15-23-56_48kHz.wav,102,105,Whistle,0.63782287,"[0.3621771037578583, 0.6378228664398193]"
